,Lote,Data,Hora,Local,Faixa,EntreFaixa,Registro,TipoRegistro,placa-hash,EspecieVeiculo,ClasseVeiculo,Comprimento,VelocidadePontual,TempoOcupacao,VelocidadeMedia,Empresa,Local.1,Descricao,Latitude,Longitude,Longitude Latitude,Local_agrupado
0,L1,20180509,191423,6605,1,0,77318,0,26d83abe67d07837fed5b9b7ceab52f34298d748,1,0,37,61,1624,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
1,L1,20180509,191439,6605,1,0,77319,0,e6fdc68a6612c21ffaf3de584d26ca230c20e660,1,0,46,91,1245,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
2,L1,20180509,191444,6605,1,0,77320,0,11e623a37e87cf7995c466723ec99688d55cae8c,1,0,50,88,1319,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
3,L1,20180509,191502,6605,1,0,77321,0,63882d1afd8fe6c3f6c7264557d40af4dbaace33,1,0,40,44,2003,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
4,L1,20180509,191505,6605,1,0,77322,0,f9e91f6f6facbcb4550ac6dd9461debd90de1654,1,0,36,50,1745,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
5,L1,20180509,191510,6605,1,0,77323,0,11e623a37e87cf7995c466723ec99688d55cae8c,0,0,9,72,1009,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
6,L1,20180509,191518,6605,1,0,77324,0,0bec12ef28f56f0a4d77e091000d1b2c2394ac29,1,0,36,58,1686,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
7,L1,20180509,191522,6605,1,0,77325,0,11e623a37e87cf7995c466723ec99688d55cae8c,1,0,34,38,2070,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
8,L1,20180509,191530,6605,1,0,77326,0,113fb004cb1ddd60d50cd27ee4a04e0220328104,1,0,38,94,1143,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
9,L1,20180509,191531,6605,1,0,77327,0,11e623a37e87cf7995c466723ec99688d55cae8c,0,0,13,94,896,0,L1,6605,R. Manuel Gaya (Tremembé/Jaçanã - Jaçanã/Tremembé) nº 761 - Oposto nº 761,-23.46497901,-46.59961608,-70.06459509,10284
